STARS,SP_TYPE,RA,DEC,J,H,K,Ks,L,M,Lp,Mp,source
Hip068625,G3V,210.712,-63.5679,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip068696,G0V,210.928,-13.2887,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip068717,G1V,211.008,-44.6144,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip068762,G3V,211.112,-68.9681,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip068779,G0V,211.172,-72.0696,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip068831,G3V,211.41,-39.27,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip068839,G1V,211.436,-32.4116,7.989,7.674,7.614,99.0,99.0,99.0,99.0,99.0,Isaac
Hip068914,G3V,211.624,-20.0729,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip068916,G1V,211.628,-33.3493,7.931,7.599,7.576,99.0,99.0,99.0,99.0,99.0,Isaac
Hip068920,G0V,211.64,-39.915,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip068950,G0V,211.722,-50.311,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip069012,G3V,211.923,-49.8679,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip069026,G3V,211.964,-37.593,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip069090,G1V,212.115,-74.8507,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip069119,G1V,212.23,-26.3793,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
